Rate your Algorithms skill out of 100,Rate your Programming Concepts out of 100,Rate your Computer Networks out of 100,Rate your Electronics Subjects out of 100,Rate your Mathematics out of 100,Rate your Communication skills out of 100,Hours working per day,No. of Participted hackathons, Rating coding skills out of 10,self-learning capability?,certifications,workshops,Interested subjects,Job/Higher Studies?,Type of company want to settle in?,interested in games,Management or Technical,worked in teams ever?,Career
67,76,69,90,77,66,4,5,5,yes,full stack,testing,parallel computing,higherstudies,product development,yes,Technical,no,Database Developer
74,85,92,80,78,91,12,0,4,yes,distro making,testing,networks,higherstudies,SAaS services,yes,Technical,no,Information Security Analyst
82,75,84,79,68,67,4,5,1,yes,python,database security,programming,higherstudies,SAaS services,yes,Management,yes,Systems Analyst
60,93,78,93,76,75,12,1,3,yes,app development,data science,parallel computing,job,Web Services,yes,Technical,no,E-Commerce Analyst
82,64,93,73,83,87,11,0,1,no,app development,testing,cloud computing,higherstudies,BPA,no,Management,no,Database Developer
68,70,85,75,92,85,4,1,2,no,app development,testing,networks,higherstudies,Cloud Services,yes,Management,yes,Software Engineer
88,65,87,63,71,90,4,3,9,yes,python,data science,data engineering,higherstudies,BPA,yes,Technical,no,Systems Analyst
70,93,82,94,93,75,11,6,3,yes,full stack,game development,cloud computing,job,product development,yes,Technical,no,Systems Analyst
85,68,86,62,87,87,7,4,7,yes,shell programming,testing,data engineering,job,Finance,no,Technical,no,Database Developer
67,64,77,72,68,65,10,0,2,yes,full stack,database security,parallel computing,job,Finance,yes,Management,no,Systems Analyst
63,84,61,76,87,76,11,4,2,no,app development,web technologies,data engineering,job,Product based,yes,Technical,yes,Design & UX
74,78,68,69,83,80,9,6,2,yes,hadoop,hacking,Computer Architecture,job,SAaS services,yes,Technical,no,Solutions Architect
83,62,61,77,82,78,11,6,9,no,app development,system designing,Computer Architecture,job,Testing and Maintainance Services,yes,Technical,no,Systems Analyst
71,72,93,65,78,94,9,5,7,yes,shell programming,cloud computing,hacking,job,BPA,no,Management,no,Systems Analyst
71,65,86,72,68,63,8,0,4,no,full stack,system designing,data engineering,job,Finance,yes,Technical,no,Network Security Engineer
85,80,83,74,70,62,10,2,1,yes,app development,hacking,cloud computing,job,SAaS services,yes,Technical,yes,Solutions Architect
67,94,94,83,81,84,5,1,6,yes,python,game development,Software Engineering,higherstudies,BPA,yes,Technical,no,Solutions Architect
74,70,87,92,94,64,5,1,1,yes,app development,web technologies,Software Engineering,job,Web Services,yes,Technical,no,Software Engineer
71,77,70,65,60,94,5,2,6,yes,machine learning,data science,IOT,higherstudies,Cloud Services,yes,Technical,no,E-Commerce Analyst
83,80,85,60,93,88,11,4,8,yes,full stack,web technologies,Software Engineering,job,SAaS services,yes,Management,yes,Database Developer
83,86,82,71,64,78,8,0,5,yes,machine learning,testing,Management,higherstudies,Cloud Services,yes,Technical,yes,Systems Analyst
82,76,94,90,79,73,5,6,8,yes,shell programming,testing,networks,higherstudies,Testing and Maintainance Services,no,Management,yes,Information Security Analyst
81,74,60,82,75,70,4,4,2,yes,python,testing,data engineering,higherstudies,BPA,no,Technical,no,Network Security Engineer
83,63,66,63,85,78,7,6,5,yes,shell programming,cloud computing,Software Engineering,job,Finance,no,Technical,no,Database Developer
73,77,84,68,63,84,9,1,3,yes,python,database security,hacking,job,Product based,no,Management,yes,Software Engineer
78,76,71,66,91,81,10,5,9,no,distro making,database security,Computer Architecture,job,Service Based,no,Technical,yes,Information Security Analyst
71,88,88,71,93,92,12,1,1,yes,information security,database security,parallel computing,higherstudies,Web Services,yes,Technical,no,E-Commerce Analyst
84,63,77,81,63,69,11,3,2,no,machine learning,cloud computing,hacking,job,SAaS services,no,Management,no,Database Developer
69,63,64,60,78,78,4,0,6,yes,information security,testing,programming,higherstudies,BPA,yes,Management,yes,Software Engineer
92,83,93,68,74,71,6,1,4,yes,information security,database security,hacking,higherstudies,Cloud Services,yes,Technical,no,Software Engineer
73,86,77,60,67,73,10,5,2,yes,hadoop,cloud computing,cloud computing,job,Service Based,no,Technical,no,Solutions Architect
62,64,71,87,60,77,10,3,7,yes,shell programming,system designing,parallel computing,higherstudies,Finance,no,Technical,yes,Database Developer
78,80,87,60,67,68,8,0,4,no,machine learning,hacking,networks,higherstudies,Cloud Services,yes,Technical,yes,Database Developer
87,80,66,66,74,75,5,6,1,no,full stack,testing,Management,job,Web Services,yes,Technical,no,Database Administrator
85,64,67,64,73,92,9,0,7,yes,distro making,hacking,hacking,job,Testing and Maintainance Services,no,Technical,no,Network Security Engineer
63,73,70,67,92,93,6,4,3,no,machine learning,system designing,data engineering,job,product development,yes,Technical,no,Solutions Architect
69,76,63,67,66,75,4,0,4,no,distro making,testing,Computer Architecture,job,Web Services,yes,Management,yes,Database Developer
94,70,68,91,78,86,7,2,8,no,full stack,cloud computing,parallel computing,job,Finance,yes,Management,no,Database Developer
74,75,65,74,85,89,7,5,6,yes,machine learning,game development,Management,job,BPA,no,Technical,yes,Database Developer
62,67,90,80,67,70,10,3,6,no,r programming,web technologies,Management,higherstudies,Cloud Services,no,Management,yes,E-Commerce Analyst
91,84,84,87,79,64,10,5,1,no,python,data science,cloud computing,job,Service Based,no,Management,no,Software Engineer
75,83,85,62,70,61,9,2,1,no,information security,cloud computing,Computer Architecture,job,BPA,no,Management,no,Solutions Architect
74,72,94,86,75,70,8,5,4,yes,python,database security,data engineering,higherstudies,Web Services,no,Management,yes,Software Engineer
67,68,84,67,80,76,12,0,4,yes,hadoop,testing,data engineering,job,Cloud Services,yes,Management,yes,Network Security Engineer
84,66,64,83,61,83,8,2,7,no,r programming,cloud computing,networks,job,Service Based,yes,Management,yes,Database Developer
72,79,70,75,81,67,4,0,9,no,hadoop,web technologies,IOT,higherstudies,Service Based,no,Technical,yes,Database Developer
66,93,74,66,71,94,5,0,6,no,information security,web technologies,programming,job,Cloud Services,no,Technical,no,Software Engineer
68,63,70,75,92,75,5,5,6,no,information security,system designing,hacking,higherstudies,product development,yes,Management,yes,Software Engineer
89,68,75,86,63,63,5,4,7,yes,python,testing,IOT,higherstudies,Cloud Services,yes,Management,yes,Systems Analyst
61,75,90,85,66,78,9,4,6,no,machine learning,system designing,cloud computing,higherstudies,Service Based,no,Management,yes,Systems Analyst
62,71,64,68,73,94,7,6,4,yes,machine learning,cloud computing,Computer Architecture,job,Service Based,no,Technical,no,Software Engineer
69,63,80,90,71,73,6,6,3,no,r programming,web technologies,parallel computing,job,Web Services,no,Management,no,Systems Analyst
74,91,80,93,94,80,10,3,4,no,r programming,system designing,data engineering,job,Web Services,no,Technical,no,Database Administrator
74,71,84,63,89,69,8,3,4,yes,distro making,game development,IOT,job,Service Based,no,Management,yes,Software Engineer
74,91,68,76,82,63,10,2,7,no,app development,testing,Management,higherstudies,Cloud Services,yes,Technical,no,Solutions Architect
85,77,91,88,91,83,8,6,1,yes,app development,testing,IOT,higherstudies,Sales and Marketing,no,Technical,yes,Network Security Engineer
86,65,66,84,69,79,5,0,3,no,full stack,cloud computing,parallel computing,higherstudies,Testing and Maintainance Services,no,Management,no,Solutions Architect
80,67,66,84,62,85,6,0,3,no,app development,system designing,Management,higherstudies,BPA,yes,Technical,yes,Software Engineer
75,78,94,84,92,65,12,0,6,yes,machine learning,system designing,data engineering,job,Testing and Maintainance Services,yes,Technical,no,Database Developer
68,91,87,65,90,66,11,0,8,yes,distro making,testing,Computer Architecture,job,Sales and Marketing,yes,Technical,no,Network Security Engineer
61,79,78,83,66,61,11,0,1,no,shell programming,hacking,Management,higherstudies,Finance,no,Management,yes,Database Developer
64,93,81,89,63,68,7,3,9,no,machine learning,database security,Computer Architecture,higherstudies,Web Services,no,Technical,no,Database Developer
93,65,86,88,93,78,9,5,5,yes,hadoop,web technologies,IOT,higherstudies,BPA,yes,Management,yes,Software Engineer
92,90,64,83,87,84,8,0,1,yes,full stack,hacking,Software Engineering,higherstudies,Service Based,yes,Technical,no,Database Administrator
67,77,64,92,83,75,5,5,6,yes,full stack,game development,Computer Architecture,job,SAaS services,yes,Management,yes,Software Engineer
84,69,88,60,93,74,11,3,7,no,distro making,data science,parallel computing,higherstudies,BPA,no,Management,no,Network Security Engineer
65,74,72,73,83,72,5,3,4,no,machine learning,cloud computing,networks,job,BPA,yes,Technical,no,Solutions Architect
69,86,75,76,94,83,5,6,7,yes,shell programming,cloud computing,hacking,job,product development,yes,Management,yes,Network Security Engineer
64,73,76,88,75,60,12,1,7,yes,app development,hacking,data engineering,job,Service Based,no,Management,yes,Database Administrator
67,61,68,61,86,86,7,5,6,yes,shell programming,cloud computing,IOT,job,Sales and Marketing,yes,Technical,no,Design & UX
92,70,83,65,61,73,4,2,8,no,app development,system designing,Management,job,BPA,yes,Management,yes,E-Commerce Analyst
85,74,66,86,63,64,10,3,7,yes,hadoop,data science,parallel computing,higherstudies,SAaS services,yes,Management,yes,E-Commerce Analyst
94,76,65,71,81,81,5,0,2,no,distro making,game development,Management,job,Finance,yes,Technical,yes,Network Security Engineer
67,71,80,85,90,82,7,6,2,no,machine learning,game development,cloud computing,job,Product based,yes,Management,no,Database Administrator
85,61,69,80,70,93,6,6,4,no,shell programming,testing,Management,higherstudies,Cloud Services,no,Technical,no,Software Engineer
69,71,72,94,66,67,8,1,8,yes,shell programming,game development,hacking,job,product development,no,Management,yes,Software Engineer
91,93,86,74,70,68,6,3,2,no,distro making,testing,networks,job,BPA,no,Management,yes,Network Security Engineer
60,94,88,80,81,66,5,5,7,no,full stack,web technologies,Management,higherstudies,Testing and Maintainance Services,yes,Management,yes,Solutions Architect
79,87,71,84,61,71,10,1,3,yes,python,data science,Management,job,Service Based,no,Technical,yes,E-Commerce Analyst
77,90,94,84,64,86,6,4,1,no,information security,hacking,parallel computing,job,Testing and Maintainance Services,no,Management,no,Software Engineer
62,85,67,76,71,76,12,3,7,yes,machine learning,hacking,hacking,job,Cloud Services,yes,Technical,yes,Network Security Engineer
76,85,88,90,88,69,12,4,1,yes,r programming,cloud computing,networks,job,Finance,yes,Management,no,Network Security Engineer
69,62,83,74,66,77,7,5,8,yes,information security,database security,programming,job,SAaS services,yes,Technical,no,Software Engineer
64,61,76,71,74,65,7,5,1,no,machine learning,system designing,parallel computing,higherstudies,Web Services,yes,Management,yes,Database Developer
90,65,82,75,65,82,6,2,5,yes,python,data science,Computer Architecture,job,BPA,no,Management,yes,Design & UX
67,76,85,68,93,94,4,5,8,yes,app development,web technologies,Computer Architecture,job,Sales and Marketing,yes,Management,yes,Database Administrator
91,87,86,91,81,71,4,6,1,yes,hadoop,data science,parallel computing,higherstudies,Cloud Services,yes,Management,yes,Systems Analyst
93,69,82,74,84,65,4,3,4,no,python,cloud computing,programming,job,SAaS services,yes,Technical,yes,Software Engineer
86,67,90,77,66,83,7,5,4,yes,machine learning,data science,networks,job,Finance,no,Management,no,Systems Analyst
72,60,66,94,78,69,12,2,1,no,shell programming,game development,Management,job,Web Services,yes,Technical,yes,Database Developer
90,75,86,61,94,71,6,0,3,yes,python,database security,hacking,job,product development,yes,Management,no,Software Engineer
73,66,61,92,63,90,6,1,7,yes,python,data science,Management,higherstudies,Product based,yes,Management,yes,Solutions Architect
70,87,70,86,66,67,12,5,7,no,shell programming,data science,Software Engineering,higherstudies,Product based,no,Management,no,Information Security Analyst
67,79,71,64,93,67,10,3,1,no,machine learning,web technologies,Software Engineering,higherstudies,Cloud Services,yes,Management,no,Network Security Engineer
86,84,76,61,70,81,11,5,2,yes,information security,cloud computing,programming,higherstudies,Service Based,yes,Technical,no,Network Security Engineer
68,92,60,85,61,62,4,0,6,no,shell programming,database security,Software Engineering,job,Finance,no,Technical,no,Database Developer
60,86,78,62,63,69,11,3,2,yes,information security,game development,Computer Architecture,job,Sales and Marketing,yes,Management,no,Systems Analyst
76,66,61,65,70,78,11,6,3,yes,r programming,data science,IOT,job,Service Based,yes,Technical,no,Information Security Analyst
76,78,72,62,62,62,12,0,4,no,hadoop,system designing,parallel computing,higherstudies,Service Based,no,Management,no,Solutions Architect
89,78,66,85,75,81,5,1,7,yes,python,cloud computing,Software Engineering,job,Sales and Marketing,yes,Technical,no,Database Developer
80,80,81,68,64,69,5,3,1,yes,python,hacking,cloud computing,higherstudies,SAaS services,yes,Technical,no,Software Engineer
82,79,93,74,89,62,7,0,3,no,shell programming,system designing,cloud computing,job,SAaS services,no,Management,no,Systems Analyst
93,73,70,74,63,91,6,2,6,no,r programming,data science,hacking,job,BPA,yes,Management,no,Software Engineer
69,65,72,66,60,66,11,4,3,yes,hadoop,web technologies,Computer Architecture,job,SAaS services,no,Technical,yes,Database Developer
74,60,86,63,62,84,12,5,5,no,hadoop,database security,Computer Architecture,job,Finance,no,Technical,yes,Information Security Analyst
82,79,80,81,90,82,5,2,6,yes,information security,web technologies,parallel computing,job,Web Services,yes,Technical,yes,Network Security Engineer
93,70,69,60,94,80,7,6,6,yes,hadoop,hacking,networks,job,Service Based,yes,Management,yes,Database Developer
92,74,67,63,70,70,7,0,3,no,shell programming,testing,cloud computing,higherstudies,Cloud Services,no,Management,no,Software Engineer
75,79,60,73,76,73,7,2,8,yes,r programming,web technologies,networks,higherstudies,SAaS services,yes,Technical,no,Systems Analyst
65,75,72,60,76,62,9,0,2,no,distro making,game development,Management,job,Sales and Marketing,no,Technical,yes,Systems Analyst
68,60,81,62,63,76,7,2,5,no,information security,database security,hacking,job,Product based,no,Technical,no,Software Engineer
87,78,73,68,76,81,7,0,8,no,machine learning,database security,Software Engineering,job,Finance,no,Management,no,Solutions Architect
88,71,78,84,69,65,9,6,1,no,information security,data science,cloud computing,job,Product based,no,Technical,no,Design & UX
79,64,79,74,74,64,8,6,3,yes,full stack,hacking,programming,job,Web Services,no,Technical,yes,Network Security Engineer
84,82,88,93,85,84,6,3,9,no,information security,testing,data engineering,job,product development,yes,Technical,no,Software Engineer
83,62,87,94,75,63,7,5,1,yes,app development,cloud computing,Management,higherstudies,Finance,no,Technical,no,E-Commerce Analyst
67,93,76,62,74,94,12,1,8,no,machine learning,system designing,hacking,job,Web Services,no,Management,no,Design & UX
74,80,70,70,92,67,4,4,7,yes,shell programming,data science,data engineering,higherstudies,Product based,no,Technical,yes,Database Administrator
80,66,87,87,80,87,12,1,1,yes,shell programming,web technologies,programming,job,Cloud Services,no,Management,no,Information Security Analyst
79,76,66,65,73,64,10,0,1,no,hadoop,testing,networks,job,product development,yes,Management,yes,Database Developer
92,64,82,81,73,80,10,4,7,yes,hadoop,database security,hacking,job,BPA,yes,Technical,yes,Database Developer
85,68,60,72,78,88,12,1,9,yes,information security,system designing,IOT,higherstudies,Sales and Marketing,yes,Technical,no,Software Engineer
89,67,73,74,76,91,9,1,9,yes,app development,hacking,Computer Architecture,higherstudies,SAaS services,yes,Management,yes,Design & UX
87,86,70,84,60,93,6,0,1,yes,shell programming,database security,parallel computing,job,Web Services,no,Management,no,Solutions Architect
76,75,76,72,84,83,12,5,9,no,app development,game development,programming,job,Sales and Marketing,yes,Management,yes,E-Commerce Analyst
68,73,79,80,79,89,10,1,6,no,machine learning,web technologies,parallel computing,higherstudies,SAaS services,yes,Management,no,Network Security Engineer
81,75,74,63,92,62,10,1,6,yes,information security,hacking,cloud computing,higherstudies,Finance,yes,Technical,no,E-Commerce Analyst
73,78,72,66,67,92,5,4,8,yes,information security,database security,networks,job,Sales and Marketing,no,Management,no,Systems Analyst
88,64,82,71,76,66,5,1,7,yes,full stack,system designing,programming,job,Sales and Marketing,yes,Management,no,E-Commerce Analyst
64,77,63,90,90,89,6,2,1,yes,shell programming,system designing,IOT,job,Finance,yes,Technical,no,Database Developer
69,65,91,82,66,68,6,0,4,no,app development,system designing,programming,job,SAaS services,yes,Technical,yes,Solutions Architect
84,74,76,86,91,75,11,1,6,no,machine learning,cloud computing,networks,higherstudies,SAaS services,yes,Management,no,Systems Analyst
89,79,71,72,65,88,4,0,8,no,python,hacking,data engineering,job,Cloud Services,yes,Technical,no,Database Administrator
63,62,87,89,80,63,11,1,7,yes,machine learning,cloud computing,Software Engineering,higherstudies,Finance,yes,Management,yes,Software Engineer
94,90,74,85,73,64,6,1,2,yes,app development,hacking,parallel computing,job,Web Services,no,Management,yes,Solutions Architect
87,75,83,74,94,60,5,0,5,no,hadoop,system designing,data engineering,job,Sales and Marketing,no,Technical,yes,Software Engineer
88,82,65,85,84,76,4,5,8,no,r programming,data science,data engineering,higherstudies,Sales and Marketing,yes,Management,no,Solutions Architect
63,80,89,92,68,67,7,5,4,yes,hadoop,system designing,networks,job,Product based,yes,Management,no,Database Developer
68,84,87,73,71,90,12,5,3,no,hadoop,game development,cloud computing,job,Cloud Services,no,Technical,no,Information Security Analyst
93,83,85,93,83,65,4,5,5,yes,information security,data science,Software Engineering,higherstudies,Testing and Maintainance Services,no,Technical,yes,Software Engineer
77,78,85,80,68,73,7,6,2,yes,distro making,hacking,programming,job,BPA,yes,Technical,yes,Design & UX
63,84,92,77,84,84,11,0,6,no,full stack,data science,data engineering,job,Finance,no,Technical,no,Database Developer
71,63,72,77,64,73,7,0,4,yes,full stack,database security,programming,higherstudies,product development,no,Technical,no,Systems Analyst
89,81,79,82,69,89,6,6,9,yes,python,web technologies,hacking,job,product development,no,Technical,no,Systems Analyst
71,78,74,93,62,82,6,3,1,no,shell programming,testing,parallel computing,job,Finance,no,Management,no,Software Engineer
80,88,76,83,77,67,4,2,8,no,hadoop,cloud computing,parallel computing,job,Service Based,no,Technical,no,Network Security Engineer
75,74,91,89,84,74,10,3,1,no,hadoop,system designing,Computer Architecture,job,Product based,yes,Technical,no,Design & UX
82,77,70,61,87,89,8,4,1,no,hadoop,game development,cloud computing,higherstudies,Web Services,no,Management,yes,Information Security Analyst
65,84,85,90,86,94,11,4,6,no,distro making,testing,cloud computing,job,SAaS services,no,Management,no,Software Engineer
75,76,71,82,78,93,8,6,6,yes,full stack,game development,IOT,job,product development,yes,Management,yes,Network Security Engineer
63,74,63,73,65,65,12,6,3,yes,hadoop,system designing,programming,higherstudies,Finance,yes,Management,no,Network Security Engineer
80,69,92,67,78,76,12,4,3,yes,information security,web technologies,programming,job,Testing and Maintainance Services,no,Management,no,Systems Analyst
68,85,64,80,92,64,9,1,2,no,full stack,system designing,cloud computing,job,Testing and Maintainance Services,yes,Technical,no,Database Developer
78,84,69,90,82,85,7,3,9,no,app development,web technologies,data engineering,higherstudies,Web Services,no,Management,no,Software Engineer
88,76,90,87,68,89,11,1,4,yes,information security,data science,cloud computing,higherstudies,Finance,yes,Management,yes,Software Engineer
90,65,66,90,91,60,12,6,2,no,full stack,system designing,Computer Architecture,job,Testing and Maintainance Services,yes,Management,yes,Database Administrator
90,90,67,89,61,64,7,0,2,no,shell programming,data science,programming,job,Web Services,yes,Management,no,Solutions Architect
94,91,79,92,92,90,12,1,9,yes,app development,game development,programming,job,Testing and Maintainance Services,no,Management,no,Database Administrator
72,88,93,77,74,83,7,4,6,no,app development,data science,IOT,job,Finance,yes,Technical,no,Database Developer
75,90,62,82,91,84,8,4,6,no,information security,data science,Software Engineering,job,product development,yes,Technical,yes,Database Administrator
89,91,79,73,69,77,5,4,5,no,machine learning,database security,IOT,job,Testing and Maintainance Services,yes,Technical,yes,Software Engineer
91,60,91,84,91,83,11,1,8,yes,app development,hacking,programming,higherstudies,Sales and Marketing,no,Technical,yes,Database Administrator
63,78,71,64,83,93,9,6,3,no,r programming,database security,networks,job,Testing and Maintainance Services,yes,Management,yes,Software Engineer
67,94,62,62,67,69,7,0,4,no,full stack,hacking,data engineering,job,SAaS services,yes,Technical,no,Design & UX
81,85,64,76,82,65,8,6,6,no,r programming,system designing,parallel computing,higherstudies,Cloud Services,no,Management,no,Network Security Engineer
92,64,86,63,64,81,5,0,4,yes,information security,system designing,programming,job,Sales and Marketing,no,Technical,no,Solutions Architect
80,83,89,79,75,60,5,1,8,no,app development,cloud computing,cloud computing,job,Testing and Maintainance Services,no,Management,no,Systems Analyst
74,93,79,66,93,94,4,5,8,yes,full stack,hacking,parallel computing,higherstudies,Product based,yes,Technical,yes,Design & UX
81,78,72,82,92,83,4,5,6,no,machine learning,system designing,cloud computing,job,SAaS services,no,Technical,no,Solutions Architect
70,91,66,67,78,91,9,3,9,yes,python,hacking,cloud computing,higherstudies,Finance,no,Management,no,Database Developer
92,61,74,91,70,91,11,0,7,yes,shell programming,cloud computing,programming,job,Testing and Maintainance Services,yes,Technical,yes,Database Developer
69,81,90,78,74,86,8,1,7,no,distro making,hacking,programming,higherstudies,BPA,yes,Technical,yes,Database Developer
67,68,73,68,79,73,12,2,2,yes,app development,database security,Management,job,Web Services,no,Management,yes,Solutions Architect
87,73,64,83,92,61,12,0,4,no,hadoop,hacking,hacking,higherstudies,Testing and Maintainance Services,no,Technical,no,Systems Analyst
81,77,79,85,84,73,8,6,8,yes,python,web technologies,parallel computing,higherstudies,Web Services,yes,Technical,yes,Design & UX
69,78,90,65,75,93,11,0,3,yes,machine learning,system designing,Computer Architecture,job,Product based,yes,Technical,no,Database Administrator
68,75,79,88,72,69,12,5,4,yes,distro making,testing,hacking,job,BPA,yes,Technical,no,Database Administrator
62,78,69,62,65,75,7,2,2,yes,shell programming,web technologies,data engineering,job,Service Based,no,Technical,no,Network Security Engineer
72,80,92,91,74,77,7,0,3,yes,distro making,game development,Software Engineering,higherstudies,BPA,yes,Technical,yes,Software Engineer
65,76,91,91,92,67,6,5,5,no,full stack,game development,hacking,higherstudies,Product based,no,Technical,yes,Software Engineer
80,70,60,72,63,87,11,0,9,yes,distro making,database security,hacking,higherstudies,Product based,no,Management,no,Database Developer
65,86,70,70,89,70,9,1,7,no,full stack,database security,IOT,job,Cloud Services,no,Technical,yes,Database Administrator
63,70,80,64,73,81,10,4,1,yes,information security,game development,programming,job,BPA,yes,Technical,yes,Software Engineer
87,73,65,66,80,91,4,6,6,yes,app development,game development,parallel computing,job,Testing and Maintainance Services,yes,Technical,no,Systems Analyst
67,72,90,93,84,88,8,6,5,no,distro making,web technologies,Software Engineering,higherstudies,Finance,no,Management,no,Database Developer
66,67,89,91,90,62,10,2,5,yes,full stack,testing,Software Engineering,job,Testing and Maintainance Services,yes,Management,yes,Software Engineer
72,67,68,72,65,84,5,6,6,yes,full stack,database security,Management,higherstudies,Cloud Services,yes,Technical,yes,Software Engineer
82,71,69,71,74,88,7,6,2,yes,full stack,database security,hacking,higherstudies,Service Based,yes,Technical,yes,Design & UX
68,69,91,91,80,90,8,4,4,yes,information security,testing,parallel computing,higherstudies,Service Based,yes,Management,yes,Network Security Engineer
65,84,81,77,94,70,7,3,4,yes,full stack,cloud computing,networks,higherstudies,Finance,no,Management,yes,Systems Analyst
66,79,90,64,85,94,12,5,1,yes,information security,testing,parallel computing,higherstudies,Testing and Maintainance Services,no,Technical,yes,Solutions Architect
65,85,79,75,90,89,9,0,7,no,app development,data science,data engineering,job,Web Services,no,Management,no,E-Commerce Analyst
80,79,82,71,62,63,9,3,8,yes,full stack,game development,Software Engineering,job,Product based,no,Technical,no,Database Developer
81,64,74,86,85,60,11,4,1,no,python,web technologies,hacking,higherstudies,product development,yes,Technical,no,Database Developer
90,86,71,70,84,81,10,3,5,yes,information security,cloud computing,Computer Architecture,job,BPA,no,Technical,no,Design & UX
63,83,69,71,82,61,4,6,8,yes,shell programming,web technologies,programming,job,Cloud Services,yes,Management,yes,Systems Analyst
72,79,79,88,78,67,9,1,8,no,hadoop,data science,data engineering,job,Sales and Marketing,yes,Technical,no,Network Security Engineer
61,68,69,83,86,77,8,3,6,yes,r programming,data science,Software Engineering,job,product development,no,Management,no,Database Developer
69,88,77,86,72,69,8,5,8,no,machine learning,data science,IOT,higherstudies,BPA,no,Management,yes,Software Engineer
93,75,94,92,67,74,6,0,2,yes,r programming,hacking,networks,higherstudies,BPA,yes,Management,yes,Systems Analyst
77,87,87,71,68,83,10,3,5,yes,distro making,data science,cloud computing,job,Cloud Services,yes,Management,no,Software Engineer
78,60,80,75,63,69,7,0,3,yes,app development,database security,hacking,higherstudies,Service Based,no,Technical,yes,Systems Analyst
90,69,67,86,72,84,4,2,9,yes,r programming,system designing,hacking,higherstudies,Sales and Marketing,no,Technical,no,Systems Analyst
85,85,79,74,73,85,5,6,6,no,app development,data science,parallel computing,higherstudies,BPA,yes,Management,yes,Software Engineer
73,82,78,73,87,74,9,5,5,yes,shell programming,game development,parallel computing,higherstudies,SAaS services,yes,Technical,no,Network Security Engineer
78,75,86,76,82,70,10,1,9,yes,app development,web technologies,parallel computing,job,Sales and Marketing,yes,Management,yes,Database Developer
